path,found total,min(found in parent),max(found in parent)
/,1,None,None
/a,1,1,1
/a/rdf:RDF,46174,46174,46174
/a/rdf:RDF/cc:Work,46174,1,1
/a/rdf:RDF/cc:Work/cc:license,46174,1,1
/a/rdf:RDF/pgterms:agent,1,0,1
/a/rdf:RDF/pgterms:agent/pgterms:alias,2,2,2
/a/rdf:RDF/pgterms:agent/pgterms:birthdate,1,1,1
/a/rdf:RDF/pgterms:agent/pgterms:deathdate,1,1,1
/a/rdf:RDF/pgterms:agent/pgterms:name,1,1,1
/a/rdf:RDF/pgterms:agent/pgterms:webpage,1,1,1
/a/rdf:RDF/pgterms:ebook,46174,1,1
/a/rdf:RDF/pgterms:ebook/dcterms:alternative,1726,0,3
/a/rdf:RDF/pgterms:ebook/dcterms:creator,46491,0,24
/a/rdf:RDF/pgterms:ebook/dcterms:creator/pgterms:agent,46444,0,1
/a/rdf:RDF/pgterms:ebook/dcterms:creator/pgterms:agent/pgterms:alias,47580,0,9
/a/rdf:RDF/pgterms:ebook/dcterms:creator/pgterms:agent/pgterms:birthdate,33756,0,1
/a/rdf:RDF/pgterms:ebook/dcterms:creator/pgterms:agent/pgterms:deathdate,32932,0,1
/a/rdf:RDF/pgterms:ebook/dcterms:creator/pgterms:agent/pgterms:name,46444,1,1
/a/rdf:RDF/pgterms:ebook/dcterms:creator/pgterms:agent/pgterms:webpage,29119,0,3
/a/rdf:RDF/pgterms:ebook/dcterms:description,1491,0,3
/a/rdf:RDF/pgterms:ebook/dcterms:hasFormat,576235,0,989
/a/rdf:RDF/pgterms:ebook/dcterms:hasFormat/pgterms:file,576229,0,1
/a/rdf:RDF/pgterms:ebook/dcterms:hasFormat/pgterms:file/dcterms:extent,576229,1,1
/a/rdf:RDF/pgterms:ebook/dcterms:hasFormat/pgterms:file/dcterms:format,688917,1,2
/a/rdf:RDF/pgterms:ebook/dcterms:hasFormat/pgterms:file/dcterms:format/rdf:Description,688917,1,1
/a/rdf:RDF/pgterms:ebook/dcterms:hasFormat/pgterms:file/dcterms:format/rdf:Description/dcam:memberOf,688917,1,1
/a/rdf:RDF/pgterms:ebook/dcterms:hasFormat/pgterms:file/dcterms:format/rdf:Description/rdf:value,688917,1,1
/a/rdf:RDF/pgterms:ebook/dcterms:hasFormat/pgterms:file/dcterms:isFormatOf,576229,1,1
/a/rdf:RDF/pgterms:ebook/dcterms:hasFormat/pgterms:file/dcterms:modified,576229,1,1
/a/rdf:RDF/pgterms:ebook/dcterms:issued,46174,1,1
/a/rdf:RDF/pgterms:ebook/dcterms:language,46326,1,3
/a/rdf:RDF/pgterms:ebook/dcterms:language/rdf:Description,46324,0,1
/a/rdf:RDF/pgterms:ebook/dcterms:language/rdf:Description/rdf:value,46324,1,1
/a/rdf:RDF/pgterms:ebook/dcterms:license,46174,1,1
/a/rdf:RDF/pgterms:ebook/dcterms:publisher,46174,1,1
/a/rdf:RDF/pgterms:ebook/dcterms:rights,46174,1,1
/a/rdf:RDF/pgterms:ebook/dcterms:subject,111301,0,16
/a/rdf:RDF/pgterms:ebook/dcterms:subject/rdf:Description,111301,1,1
/a/rdf:RDF/pgterms:ebook/dcterms:subject/rdf:Description/dcam:memberOf,111301,1,1
/a/rdf:RDF/pgterms:ebook/dcterms:subject/rdf:Description/rdf:value,111301,1,1
/a/rdf:RDF/pgterms:ebook/dcterms:tableOfContents,2942,0,1
/a/rdf:RDF/pgterms:ebook/dcterms:title,46071,0,1
/a/rdf:RDF/pgterms:ebook/dcterms:type,46174,1,1
/a/rdf:RDF/pgterms:ebook/dcterms:type/rdf:Description,46174,1,1
/a/rdf:RDF/pgterms:ebook/dcterms:type/rdf:Description/dcam:memberOf,46174,1,1
/a/rdf:RDF/pgterms:ebook/dcterms:type/rdf:Description/rdf:value,46174,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:adp,20,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:adp/pgterms:agent,20,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:adp/pgterms:agent/pgterms:alias,22,0,4
/a/rdf:RDF/pgterms:ebook/marcrel:adp/pgterms:agent/pgterms:birthdate,14,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:adp/pgterms:agent/pgterms:deathdate,12,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:adp/pgterms:agent/pgterms:name,20,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:adp/pgterms:agent/pgterms:webpage,13,0,2
/a/rdf:RDF/pgterms:ebook/marcrel:aft,1,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:aft/pgterms:agent,1,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:aft/pgterms:agent/pgterms:alias,1,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:aft/pgterms:agent/pgterms:birthdate,1,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:aft/pgterms:agent/pgterms:deathdate,1,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:aft/pgterms:agent/pgterms:name,1,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:ann,74,0,2
/a/rdf:RDF/pgterms:ebook/marcrel:ann/pgterms:agent,74,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:ann/pgterms:agent/pgterms:alias,98,0,4
/a/rdf:RDF/pgterms:ebook/marcrel:ann/pgterms:agent/pgterms:birthdate,51,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:ann/pgterms:agent/pgterms:deathdate,48,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:ann/pgterms:agent/pgterms:name,74,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:ann/pgterms:agent/pgterms:webpage,21,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:arr,9,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:arr/pgterms:agent,9,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:arr/pgterms:agent/pgterms:alias,9,0,3
/a/rdf:RDF/pgterms:ebook/marcrel:arr/pgterms:agent/pgterms:birthdate,4,0,1
