path,found total,min(found in parent),max(found in parent)
/,1,None,None
/rdf:RDF,1,1,1
/rdf:RDF/cc:License,1,1,1
/rdf:RDF/cc:License/cc:permits,3,3,3
/rdf:RDF/cc:License/cc:requires,3,3,3
/rdf:RDF/cc:Work,1,1,1
/rdf:RDF/cc:Work/cc:license,1,1,1
/rdf:RDF/pgterms:etext,36890,36890,36890
/rdf:RDF/pgterms:etext/dc:alternative,795,0,1
/rdf:RDF/pgterms:etext/dc:alternative/rdf:Bag,54,0,1
/rdf:RDF/pgterms:etext/dc:alternative/rdf:Bag/rdf:li,110,2,3
/rdf:RDF/pgterms:etext/dc:contributor,7535,0,1
/rdf:RDF/pgterms:etext/dc:contributor/rdf:Bag,1147,0,1
/rdf:RDF/pgterms:etext/dc:contributor/rdf:Bag/rdf:li,3056,2,26
/rdf:RDF/pgterms:etext/dc:created,36890,1,1
/rdf:RDF/pgterms:etext/dc:created/dcterms:W3CDTF,36890,1,1
/rdf:RDF/pgterms:etext/dc:created/dcterms:W3CDTF/rdf:value,36890,1,1
/rdf:RDF/pgterms:etext/dc:creator,35835,0,1
/rdf:RDF/pgterms:etext/dc:creator/rdf:Bag,1024,0,1
/rdf:RDF/pgterms:etext/dc:creator/rdf:Bag/rdf:li,2311,2,14
/rdf:RDF/pgterms:etext/dc:description,1074,0,1
/rdf:RDF/pgterms:etext/dc:description/rdf:Bag,4,0,1
/rdf:RDF/pgterms:etext/dc:description/rdf:Bag/rdf:li,8,2,2
/rdf:RDF/pgterms:etext/dc:language,36717,0,1
/rdf:RDF/pgterms:etext/dc:language/dcterms:ISO639-2,36592,0,1
/rdf:RDF/pgterms:etext/dc:language/dcterms:ISO639-2/rdf:value,36592,1,1
/rdf:RDF/pgterms:etext/dc:language/rdf:Bag,125,0,1
/rdf:RDF/pgterms:etext/dc:language/rdf:Bag/rdf:li,254,2,3
/rdf:RDF/pgterms:etext/dc:language/rdf:Bag/rdf:li/dcterms:ISO639-2,254,1,1
/rdf:RDF/pgterms:etext/dc:language/rdf:Bag/rdf:li/dcterms:ISO639-2/rdf:value,254,1,1
/rdf:RDF/pgterms:etext/dc:publisher,36890,1,1
/rdf:RDF/pgterms:etext/dc:rights,36890,1,1
/rdf:RDF/pgterms:etext/dc:subject,47021,0,2
/rdf:RDF/pgterms:etext/dc:subject/dcterms:LCC,23230,0,1
/rdf:RDF/pgterms:etext/dc:subject/dcterms:LCC/rdf:value,23230,1,1
/rdf:RDF/pgterms:etext/dc:subject/dcterms:LCSH,10533,0,1
/rdf:RDF/pgterms:etext/dc:subject/dcterms:LCSH/rdf:value,10533,1,1
/rdf:RDF/pgterms:etext/dc:subject/rdf:Bag,13258,0,1
/rdf:RDF/pgterms:etext/dc:subject/rdf:Bag/rdf:li,39853,2,15
/rdf:RDF/pgterms:etext/dc:subject/rdf:Bag/rdf:li/dcterms:LCC,2514,0,1
/rdf:RDF/pgterms:etext/dc:subject/rdf:Bag/rdf:li/dcterms:LCC/rdf:value,2514,1,1
/rdf:RDF/pgterms:etext/dc:subject/rdf:Bag/rdf:li/dcterms:LCSH,37339,0,1
/rdf:RDF/pgterms:etext/dc:subject/rdf:Bag/rdf:li/dcterms:LCSH/rdf:value,37339,1,1
/rdf:RDF/pgterms:etext/dc:tableOfContents,1713,0,1
/rdf:RDF/pgterms:etext/dc:title,37115,0,2
/rdf:RDF/pgterms:etext/dc:type,1239,0,1
/rdf:RDF/pgterms:etext/dc:type/pgterms:category,1239,1,1
/rdf:RDF/pgterms:etext/dc:type/pgterms:category/rdf:value,1239,1,1
/rdf:RDF/pgterms:etext/pgterms:friendlytitle,36890,1,1
/rdf:RDF/pgterms:file,450825,450825,450825
/rdf:RDF/pgterms:file/dc:format,535486,1,2
/rdf:RDF/pgterms:file/dc:format/dcterms:IMT,535486,1,1
/rdf:RDF/pgterms:file/dc:format/dcterms:IMT/rdf:value,535486,1,1
/rdf:RDF/pgterms:file/dcterms:extent,450825,1,1
/rdf:RDF/pgterms:file/dcterms:isFormatOf,450825,1,1
/rdf:RDF/pgterms:file/dcterms:modified,450825,1,1
/rdf:RDF/pgterms:file/dcterms:modified/dcterms:W3CDTF,450825,1,1
/rdf:RDF/pgterms:file/dcterms:modified/dcterms:W3CDTF/rdf:value,450825,1,1
/rdf:RDF/rdf:Description,1,1,1
/rdf:RDF/rdf:Description/dc:created,1,1,1
/rdf:RDF/rdf:Description/dc:created/dcterms:W3CDTF,1,1,1
/rdf:RDF/rdf:Description/dc:created/dcterms:W3CDTF/rdf:value,1,1,1
